"Date","APPL","NASDAQ","WTI","Gold","Copper","TNYR","DXY","CQQQ","CAC40"
2015-03-19,29.107641,4992.379883,43.959999,1169.099976,2.6745,1.977,99.099998,35.123402,5037.180176
2015-03-20,28.742371,5026.419922,45.720001,1184.800049,2.775,1.93,97.910004,35.519955,5087.490234
2015-03-23,29.041435,5010.970215,47.450001,1188,2.808,1.915,97.029999,35.727673,5054.52002
2015-03-24,28.92272,4994.72998,47.509998,1191.699951,2.815,1.878,97.190002,35.793766,5088.279785
2015-03-25,28.167063,4876.52002,49.209999,1197.300049,2.805,1.92,96.980003,35.255585,5020.990234
2015-03-26,28.363403,4863.359863,51.43,1205.099976,2.8215,2.007,97.440002,35.189491,5006.350098
2015-03-27,28.137388,4891.220215,48.869999,1199.800049,2.775,1.948,97.290001,35.340557,5034.060059
2015-03-30,28.849669,4947.439941,48.68,1184.800049,2.7875,1.963,97.980003,36.152554,5083.52002
2015-03-31,28.406776,4900.879883,47.599998,1183.099976,2.747,1.934,98.360001,36.152554,5033.640137
2015-04-01,28.365681,4880.22998,50.09,1208.099976,2.7565,1.868,98.190002,36.615196,5062.220215
2015-04-02,28.609964,4886.939941,49.139999,1200.900024,2.748,1.904,97.440002,37.446072,5074.140137
2015-04-07,28.767483,4910.22998,53.98,1210.599976,2.777,1.893,97.830002,37.955929,5151.189941
2015-04-08,28.673885,4950.819824,50.419998,1203.099976,2.7485,1.895,98.07,40.72237,5136.859863
2015-04-09,28.893047,4974.560059,50.790001,1193.599976,2.745,1.958,99.160004,41.647663,5208.950195
2015-04-10,29.016325,4995.97998,51.639999,1204.599976,2.7505,1.951,99.389999,41.336079,5240.459961
2015-04-13,28.959249,4988.25,51.91,1199.300049,2.737,1.939,99.489998,41.62878,5254.120117
2015-04-14,28.833691,4977.290039,53.290001,1192.800049,2.7195,1.904,98.760002,41.269989,5218.060059
2015-04-15,28.94327,5011.02002,56.389999,1201.5,2.7295,1.9,98.330002,40.996174,5254.350098
2015-04-16,28.804008,5007.790039,56.709999,1198,2.7855,1.878,97.419998,41.364407,5224.490234
2015-04-17,28.47983,4931.810059,55.740002,1202.900024,2.7835,1.85,97.519997,39.929264,5143.259766
2015-04-20,29.130468,4994.600098,56.380001,1193.5,2.7355,1.895,97.940002,39.863163,5187.589844
2015-04-21,28.972948,5014.100098,55.259998,1202.900024,2.705,1.916,97.980003,40.741249,5192.640137
2015-04-22,29.363327,5035.169922,56.16,1186.900024,2.6695,1.972,98.019997,41.345524,5211.089844
