Date,Open,High,Low,Close,Adj Close,Volume
3/19/2015,44.599998,44.709999,42.75,43.959999,43.959999,106907
3/20/2015,43.990002,46.529999,43.310001,45.720001,45.720001,379180
3/23/2015,46.41,47.610001,45.330002,47.450001,47.450001,292417
3/24/2015,47.459999,48.560001,46.669998,47.509998,47.509998,309553
3/25/2015,47.720001,49.459999,47,49.209999,49.209999,398795
3/26/2015,49.02,52.48,48.73,51.43,51.43,515277
3/27/2015,51.009998,51.380001,48.209999,48.869999,48.869999,384092
3/30/2015,48.57,49.16,47.610001,48.68,48.68,355866
3/31/2015,48.73,48.73,47.279999,47.599998,47.599998,365748
4/1/2015,47.549999,50.450001,47.049999,50.09,50.09,451104
4/2/2015,49.59,50.27,48.110001,49.139999,49.139999,453394
4/6/2015,49.470001,52.240002,49.470001,52.139999,52.139999,325282
4/7/2015,51.950001,54.130001,51.169998,53.98,53.98,548870
4/8/2015,53.18,53.23,50.369999,50.419998,50.419998,552627
4/9/2015,51,52.07,50.509998,50.790001,50.790001,449531
4/10/2015,50.73,51.93,50.080002,51.639999,51.639999,395135
4/13/2015,51.810001,53.099998,51.470001,51.91,51.91,375534
4/14/2015,52.049999,53.790001,51.830002,53.290001,53.290001,431026
4/15/2015,53.549999,56.689999,53.389999,56.389999,56.389999,508904
4/16/2015,55.919998,57.419998,55.07,56.709999,56.709999,413134
4/17/2015,56.560001,56.880001,55.310001,55.740002,55.740002,230623
4/20/2015,56.16,57.169998,54.849998,56.380001,56.380001,112382
4/21/2015,56.41,56.91,55.009998,55.259998,55.259998,354244
4/22/2015,56.34,57.189999,55.73,56.16,56.16,329631
4/23/2015,56.279999,58.41,55.759998,57.740002,57.740002,415569
4/24/2015,57.529999,57.950001,56.5,57.150002,57.150002,328322
4/27/2015,57.299999,57.889999,56.52,56.990002,56.990002,250558
4/28/2015,56.650002,57.830002,56.07,57.060001,57.060001,281864
4/29/2015,56.93,59.330002,56.540001,58.580002,58.580002,411097
4/30/2015,58.549999,59.849998,58.380001,59.630001,59.630001,340322
5/1/2015,59.790001,59.900002,58.32,59.150002,59.150002,244753
5/4/2015,59.299999,59.73,58.450001,58.93,58.93,215046
5/5/2015,58.950001,61.099998,58.630001,60.400002,60.400002,389743
5/6/2015,60.720001,62.580002,60.540001,60.93,60.93,423583
5/7/2015,60.689999,61.310001,58.490002,58.939999,58.939999,437022
5/8/2015,59.02,59.900002,58.139999,59.389999,59.389999,434575
5/11/2015,59.43,59.849998,58.75,59.25,59.25,332694
5/12/2015,59.27,61.360001,59.119999,60.75,60.75,397345
5/13/2015,61.23,61.849998,60.02,60.5,60.5,426835
5/14/2015,60.099998,60.84,59.360001,59.880001,59.880001,361432
5/15/2015,59.669998,59.970001,58.419998,59.689999,59.689999,222089
5/18/2015,59.849998,60.880001,59.060001,59.43,59.43,144389
5/19/2015,59.540001,59.630001,57.09,57.259998,57.259998,336779
5/20/2015,58.32,59.040001,58.099998,58.98,58.98,287129
5/21/2015,58.810001,60.939999,58.689999,60.720001,60.720001,329765
5/22/2015,60.66,60.799999,59.349998,59.720001,59.720001,230307
5/26/2015,60.049999,60.25,57.709999,58.029999,58.029999,330128
5/27/2015,58.32,58.950001,57.360001,57.509998,57.509998,314917
5/28/2015,57.630001,58.07,56.509998,57.68,57.68,340682
5/29/2015,57.970001,60.700001,57.720001,60.299999,60.299999,452222
6/1/2015,60.290001,60.639999,59.330002,60.200001,60.200001,292189
6/2/2015,60.18,61.580002,60.09,61.259998,61.259998,344508
6/3/2015,61.02,61.43,59.34,59.639999,59.639999,371298
6/4/2015,59.57,59.939999,57.830002,58,58,363345
6/5/2015,57.990002,59.23,56.830002,59.130001,59.130001,461016
6/8/2015,58.959999,59.130001,57.860001,58.139999,58.139999,339845
6/9/2015,58.310001,60.68,58.23,60.139999,60.139999,405486
6/10/2015,60.580002,61.82,60.450001,61.43,61.43,459765
6/11/2015,61.139999,61.529999,60.209999,60.77,60.77,352421
6/12/2015,60.549999,60.630001,59.73,59.959999,59.959999,246898
6/15/2015,59.900002,59.98,58.73,59.52,59.52,275187
6/16/2015,59.599998,60.369999,59.419998,59.970001,59.970001,233935
6/17/2015,60.029999,61.380001,58.849998,59.919998,59.919998,396155
6/18/2015,59.779999,60.889999,59.25,60.450001,60.450001,181875
6/19/2015,60.5,60.560001,58.880001,59.610001,59.610001,116656
6/22/2015,59.439999,60.299999,58.93,59.68,59.68,255306
6/23/2015,60.209999,61.490002,59.549999,61.009998,61.009998,336224
6/24/2015,61.139999,61.57,59.799999,60.27,60.27,312985
6/25/2015,60.220001,60.459999,59.43,59.700001,59.700001,222341
6/26/2015,59.66,59.959999,58.759998,59.630001,59.630001,231957
6/29/2015,58.84,59.27,58.040001,58.330002,58.330002,286035
6/30/2015,58.27,59.689999,57.939999,59.470001,59.470001,282475
7/1/2015,58.98,58.98,56.68,56.959999,56.959999,373405
7/2/2015,56.869999,57.950001,56.5,56.93,56.93,297050
7/6/2015,54.900002,55.34,52.41,52.529999,52.529999,540608
7/7/2015,52.75,53.43,50.580002,52.330002,52.330002,527267
7/8/2015,52.91,52.959999,50.91,51.650002,51.650002,434752
7/9/2015,51.830002,53.540001,51.48,52.779999,52.779999,382334
7/10/2015,52.48,53.889999,51.959999,52.740002,52.740002,349075
7/13/2015,52.150002,53.169998,51.259998,52.200001,52.200001,359477
7/14/2015,52,53.43,50.880001,53.040001,53.040001,422756
7/15/2015,53.400002,53.5,51.209999,51.41,51.41,334563
7/16/2015,51.619999,52.169998,50.84,50.91,50.91,319167
7/17/2015,50.91,51.23,50.139999,50.889999,50.889999,203485
7/20/2015,50.759998,51.259998,49.849998,50.150002,50.150002,102597
7/21/2015,49.950001,51.02,49.77,50.360001,50.360001,254321
7/22/2015,50.709999,50.709999,49.040001,49.189999,49.189999,347986
7/23/2015,49.23,49.630001,48.209999,48.450001,48.450001,316060
7/24/2015,48.790001,49.029999,47.720001,48.139999,48.139999,278233
7/27/2015,48,48.200001,46.91,47.389999,47.389999,273614
7/28/2015,47.02,48.439999,46.68,47.98,47.98,338107
7/29/2015,47.810001,49.52,47.389999,48.790001,48.790001,366893
7/30/2015,48.830002,49.360001,48.34,48.52,48.52,247662
7/31/2015,48.470001,48.619999,46.700001,47.119999,47.119999,334474
8/3/2015,46.860001,46.939999,45.080002,45.169998,45.169998,371085
8/4/2015,45.349998,46.23,45.290001,45.740002,45.740002,285786
8/5/2015,45.959999,46.700001,44.830002,45.150002,45.150002,367326
8/6/2015,45.16,45.27,44.200001,44.66,44.66,360977
8/7/2015,44.82,45.16,43.700001,43.869999,43.869999,400070
