Date,Open,High,Low,Close,Adj Close,Volume
3/19/2015,2.6325,2.678,2.63,2.6745,2.6745,224
3/20/2015,2.7,2.785,2.7,2.775,2.775,284
3/23/2015,2.8005,2.924,2.785,2.808,2.808,378
3/24/2015,2.88,2.88,2.805,2.815,2.815,411
3/25/2015,2.805,2.81,2.8,2.805,2.805,834
3/26/2015,2.85,2.85,2.815,2.8215,2.8215,483
3/27/2015,2.818,2.818,2.772,2.775,2.775,714
3/30/2015,2.7655,2.796,2.7645,2.7875,2.7875,671
3/31/2015,2.763,2.784,2.7465,2.747,2.747,401
4/1/2015,2.7495,2.759,2.721,2.7565,2.7565,550
4/2/2015,2.734,2.75,2.734,2.748,2.748,306
4/6/2015,2.81,2.81,2.7095,2.732,2.732,191
4/7/2015,2.77,2.788,2.7675,2.777,2.777,232
4/8/2015,2.762,2.7685,2.742,2.7485,2.7485,295
4/9/2015,2.735,2.7695,2.735,2.745,2.745,182
4/10/2015,2.7505,2.7895,2.75,2.7505,2.7505,212
4/13/2015,2.7475,2.756,2.735,2.737,2.737,308
4/14/2015,2.704,2.722,2.6975,2.7195,2.7195,347
4/15/2015,2.715,2.742,2.692,2.7295,2.7295,288
4/16/2015,2.7625,2.7985,2.76,2.7855,2.7855,338
4/17/2015,2.7895,2.8175,2.772,2.7835,2.7835,776
4/20/2015,2.7845,2.7845,2.725,2.7355,2.7355,743
4/21/2015,2.7275,2.7325,2.695,2.705,2.705,328
4/22/2015,2.6955,2.6955,2.6675,2.6695,2.6695,168
4/23/2015,2.6675,2.698,2.6655,2.698,2.698,173
4/24/2015,2.7405,2.752,2.7405,2.752,2.752,328
4/27/2015,2.7595,2.7855,2.7595,2.774,2.774,529
4/28/2015,2.765,2.7905,2.764,2.78,2.78,24423
4/29/2015,2.78,2.7995,2.7545,2.795,2.795,7289
4/30/2015,2.7885,2.8895,2.786,2.8865,2.8865,2373
5/1/2015,2.8845,2.94,2.8845,2.9315,2.9315,1072
5/4/2015,2.913,2.9285,2.895,2.924,2.924,581
5/5/2015,2.918,2.953,2.9065,2.94,2.94,509
