"","x"
"1",120.28475720511
"2",120.752519370137
"3",120.300737695541
"4",120.884928101258
"5",120.27820703856
"6",120.762288044034
"7",120.288619402399
"8",120.647545300278
"9",120.304811107301
"10",120.552062131154
"11",120.310491113155
"12",120.475877157412
"13",120.307177511303
"14",120.415720514964
"15",120.297808173701
"16",120.367803975697
"17",120.284902154745
"18",120.329103160154
"19",120.270278709399
"20",120.297376639467
"21",120.25514146492
"22",120.270998480047
"23",120.24024512112
"24",120.248791126573
"25",120.226037138157
"26",120.229894524324
"27",120.212761405549
"28",120.213671934805
"29",120.200530075832
"30",120.199644123632
"31",120.189372073363
"32",120.187443825404
"33",120.17926537884
"34",120.176784279563
"35",120.170158275772
"36",120.167437419436
"37",120.161983169582
"38",120.159218660698
"39",120.154665443028
"40",120.151976203183
"41",120.148129013275
"42",120.145583427408
"43",120.142299710698
"44",120.139933422006
"45",120.137107230258
"46",120.134934986906
"47",120.132486157231
"48",120.130509665999
"49",120.128376401528
"50",120.126589504562
"51",120.124723262251
"52",120.123115322491
"53",120.121477268682
"54",120.120035359471
"55",120.118593893338
"56",120.117304192331
"57",120.116033199023
"58",120.114881854943
"59",120.113759459333
"60",120.112733111569
"61",120.111740777196
"62",120.110826848666
"63",120.10994871623
"64",120.109135559842
"65",120.108357953283
"66",120.107634905457
"67",120.106945956391
"68",120.106303333009
"69",120.105692689754
"70",120.105121747813
"71",120.104580345696
"72",120.104073225856
"73",120.103593102589
"74",120.103142762393
"75",120.102716907203
"76",120.10231705117
"77",120.101939279638
"78",120.101584290043
"79",120.101249138923
"80",120.100934009536
"81",120.100636647384
"82",120.100356921397
"83",120.100093071931
"84",120.099844784676
"85",120.099610660571
"86",120.099390287205
"87",120.099182532545
"88",120.09898694062
"89",120.098802580659
"90",120.098628987352
