"","x"
"1",120.30974816274
"2",120.719955891028
"3",120.277397430237
"4",120.922731279764
"5",120.371897923755
"6",120.880769276563
"7",120.43083986686
"8",120.819532435701
"9",120.482332624482
"10",120.772536019216
"11",120.522952170975
"12",120.737453505653
"13",120.55325637011
"14",120.711418741616
"15",120.575636881187
"16",120.692196557144
"17",120.592140592274
"18",120.678027272369
"19",120.60430393689
"20",120.667586134567
"21",120.613266521249
"22",120.659892846876
"23",120.619870246824
"24",120.654224397448
"25",120.624735873766
"26",120.650047892668
"27",120.628320855167
"28",120.646970657179
"29",120.630962257122
"30",120.644703361166
"31",120.632908432339
"32",120.643032825925
"33",120.63434236693
"34",120.641801981853
"35",120.635398884524
"36",120.640895100591
"37",120.636177322694
"38",120.640226913906
"39",120.636750872994
"40",120.639734596484
"41",120.637173462686
"42",120.639371858869
"43",120.637484825172
"44",120.639104595166
"45",120.637714235875
"46",120.63890767628
"47",120.637883264813
"48",120.63876258719
"49",120.638007804696
"50",120.638655686097
"51",120.63809956521
"52",120.638576921776
"53",120.63816717401
"54",120.638518888523
"55",120.638216987918
"56",120.638476129841
"57",120.638253690617
"58",120.638444625406
"59",120.638280733027
"60",120.638421413057
"61",120.638300657772
"62",120.638404310286
"63",120.638315338249
"64",120.63839170903
"65",120.638326154769
"66",120.638382424471
"67",120.63833412434
"68",120.638375583644
"69",120.63833999629
"70",120.638370543348
"71",120.63834432272
"72",120.638366829677
"73",120.638347510418
"74",120.638364093458
"75",120.638349859101
"76",120.638362077423
"77",120.638351589602
"78",120.638360592015
"79",120.638352864629
"80",120.638359497573
"81",120.638353804064
"82",120.638358691192
"83",120.638354496236
"84",120.638358097053
"85",120.638355006225
"86",120.638357659294
"87",120.638355381984
"88",120.638357336755
"89",120.638355658841
"90",120.638357099109
